filename	region	type	sv_count	length	length_mb	count_per_mb
2436A	centromere	DEL	1657	144940997.05	144.94099705	11.4322381777765
2436A	centromere	DUP	2	144940997.05	144.94099705	0.0137987183799354
2436A	centromere	INS	1258	144940997.05	144.94099705	8.67939386097938
2436A	centromere	INV	2	144940997.05	144.94099705	0.0137987183799354
2436A	interstitial	DEL	10868	2579949747.49	2579.94974749	4.21248515036905
2436A	interstitial	DUP	9	2579949747.49	2579.94974749	0.00348844003987131
2436A	interstitial	INS	9992	2579949747.49	2579.94974749	3.87294365315491
2436A	interstitial	INV	18	2579949747.49	2579.94974749	0.00697688007974263
2436A	telomere	DEL	3559	173929196.46	173.92919646	20.4623494642459
2436A	telomere	DUP	4	173929196.46	173.92919646	0.022997863966559
2436A	telomere	INS	3121	173929196.46	173.92919646	17.9440833599077
3188	centromere	DEL	1574	144940997.05	144.94099705	10.8595913650092
3188	centromere	DUP	7	144940997.05	144.94099705	0.0482955143297739
3188	centromere	INS	979	144940997.05	144.94099705	6.75447264697839
3188	centromere	INV	57	144940997.05	144.94099705	0.393263473828159
3188	interstitial	DEL	6431	2579949747.49	2579.94974749	2.49268421071249
3188	interstitial	DUP	89	2579949747.49	2579.94974749	0.0344967959498385
3188	interstitial	INS	5550	2579949747.49	2579.94974749	2.15120469125398
3188	interstitial	INV	418	2579949747.49	2579.94974749	0.162018659629579
3188	telomere	DEL	3275	173929196.46	173.92919646	18.8295011226202
3188	telomere	DUP	16	173929196.46	173.92919646	0.0919914558662361
3188	telomere	INS	2433	173929196.46	173.92919646	13.9884507576595
3188	telomere	INV	5	173929196.46	173.92919646	0.0287473299581988
3988	centromere	DEL	2578	144940997.05	144.94099705	17.7865479917368
3988	centromere	DUP	9	144940997.05	144.94099705	0.0620942327097094
3988	centromere	INS	1869	144940997.05	144.94099705	12.8949023260496
3988	centromere	INV	8	144940997.05	144.94099705	0.0551948735197417
3988	interstitial	DEL	8647	2579949747.49	2579.94974749	3.35161566941858
3988	interstitial	DUP	17	2579949747.49	2579.94974749	0.00658927563086804
3988	interstitial	INS	11068	2579949747.49	2579.94974749	4.29000604014397
3988	interstitial	INV	67	2579949747.49	2579.94974749	0.0259694980745976
3988	telomere	DEL	2514	173929196.46	173.92919646	14.4541575029823
3988	telomere	DUP	11	173929196.46	173.92919646	0.0632441259080373
3988	telomere	INS	2896	173929196.46	173.92919646	16.6504535117887
3988	telomere	INV	5	173929196.46	173.92919646	0.0287473299581988
6265D	centromere	DEL	1710	144940997.05	144.94099705	11.7979042148448
6265D	centromere	DUP	6	144940997.05	144.94099705	0.0413961551398062
6265D	centromere	INS	1075	144940997.05	144.94099705	7.41681112921529
6265D	centromere	INV	11	144940997.05	144.94099705	0.0758929510896448
6265D	interstitial	DEL	7448	2579949747.49	2579.94974749	2.88687793521795
6265D	interstitial	DUP	51	2579949747.49	2579.94974749	0.0197678268926041
6265D	interstitial	INS	6211	2579949747.49	2579.94974749	2.40741123196008
6265D	interstitial	INV	130	2579949747.49	2579.94974749	0.0503885783536967
6265D	telomere	DEL	3266	173929196.46	173.92919646	18.7777559286954
6265D	telomere	DUP	16	173929196.46	173.92919646	0.0919914558662361
6265D	telomere	INS	2353	173929196.46	173.92919646	13.5284934783283
6265D	telomere	INV	6	173929196.46	173.92919646	0.0344967959498385
6266D	centromere	DEL	1845	144940997.05	144.94099705	12.7293177054904
6266D	centromere	INS	1400	144940997.05	144.94099705	9.65910286595479
6266D	centromere	INV	1	144940997.05	144.94099705	0.00689935918996771
6266D	interstitial	DEL	11076	2579949747.49	2579.94974749	4.29310687573496
6266D	interstitial	DUP	7	2579949747.49	2579.94974749	0.00271323114212213
6266D	interstitial	INS	10287	2579949747.49	2579.94974749	3.98728696557291
6266D	interstitial	INV	30	2579949747.49	2579.94974749	0.0116281334662377
6266D	telomere	DEL	3782	173929196.46	173.92919646	21.7444803803816
6266D	telomere	DUP	5	173929196.46	173.92919646	0.0287473299581988
6266D	telomere	INS	3093	173929196.46	173.92919646	17.7830983121418
6269C	centromere	DEL	1547	144940997.05	144.94099705	10.67330866688
6269C	centromere	DUP	7	144940997.05	144.94099705	0.0482955143297739
6269C	centromere	INS	942	144940997.05	144.94099705	6.49919635694958
6269C	centromere	INV	98	144940997.05	144.94099705	0.676137200616835
6269C	interstitial	DEL	7640	2579949747.49	2579.94974749	2.96129798940187
6269C	interstitial	DUP	66	2579949747.49	2579.94974749	0.025581893625723
6269C	interstitial	INS	6844	2579949747.49	2579.94974749	2.6527648480977
6269C	interstitial	INV	1089	2579949747.49	2579.94974749	0.422101244824429
6269C	telomere	DEL	3300	173929196.46	173.92919646	18.9732377724112
6269C	telomere	DUP	10	173929196.46	173.92919646	0.0574946599163976
6269C	telomere	INS	2457	173929196.46	173.92919646	14.1264379414589
6269C	telomere	INV	48	173929196.46	173.92919646	0.275974367598708
6277A	centromere	DEL	1961	144940997.05	144.94099705	13.5296433715267
6277A	centromere	DUP	3	144940997.05	144.94099705	0.0206980775699031
6277A	centromere	INS	1397	144940997.05	144.94099705	9.63840478838489
6277A	centromere	INV	6	144940997.05	144.94099705	0.0413961551398062
6277A	interstitial	DEL	10905	2579949747.49	2579.94974749	4.22682651497741
6277A	interstitial	DUP	12	2579949747.49	2579.94974749	0.00465125338649508
6277A	interstitial	INS	10106	2579949747.49	2579.94974749	3.91713056032661
6277A	interstitial	INV	64	2579949747.49	2579.94974749	0.0248066847279738
6277A	telomere	DEL	3727	173929196.46	173.92919646	21.4282597508414
6277A	telomere	DUP	2	173929196.46	173.92919646	0.0114989319832795
6277A	telomere	INS	2989	173929196.46	173.92919646	17.1851538490112
6277A	telomere	INV	4	173929196.46	173.92919646	0.022997863966559
6285B	centromere	DEL	1594	144940997.05	144.94099705	10.9975785488085
6285B	centromere	DUP	1	144940997.05	144.94099705	0.00689935918996771
6285B	centromere	INS	1225	144940997.05	144.94099705	8.45171500771044
6285B	centromere	INV	6	144940997.05	144.94099705	0.0413961551398062
6285B	interstitial	DEL	10618	2579949747.49	2579.94974749	4.1155840381504
6285B	interstitial	DUP	6	2579949747.49	2579.94974749	0.00232562669324754
6285B	interstitial	INS	9777	2579949747.49	2579.94974749	3.78960869664687
6285B	interstitial	INV	19	2579949747.49	2579.94974749	0.00736448452861722
6285B	telomere	DEL	3511	173929196.46	173.92919646	20.1863750966472
6285B	telomere	DUP	2	173929196.46	173.92919646	0.0114989319832795
6285B	telomere	INS	2940	173929196.46	173.92919646	16.9034300154209
6285B	telomere	INV	2	173929196.46	173.92919646	0.0114989319832795
6298B	centromere	DEL	1846	144940997.05	144.94099705	12.7362170646804
6298B	centromere	DUP	2	144940997.05	144.94099705	0.0137987183799354
6298B	centromere	INS	1442	144940997.05	144.94099705	9.94887595193343
6298B	centromere	INV	7	144940997.05	144.94099705	0.0482955143297739
6298B	interstitial	DEL	11105	2579949747.49	2579.94974749	4.30434740475233
6298B	interstitial	DUP	8	2579949747.49	2579.94974749	0.00310083559099672
6298B	interstitial	INS	10398	2579949747.49	2579.94974749	4.03031105939799
6298B	interstitial	INV	19	2579949747.49	2579.94974749	0.00736448452861722
6298B	telomere	DEL	3840	173929196.46	173.92919646	22.0779494078967
6298B	telomere	DUP	3	173929196.46	173.92919646	0.0172483979749193
6298B	telomere	INS	3257	173929196.46	173.92919646	18.7260107347707
6314E	centromere	DEL	1688	144940997.05	144.94099705	11.6461183126655
6314E	centromere	DUP	1	144940997.05	144.94099705	0.00689935918996771
6314E	centromere	INS	984	144940997.05	144.94099705	6.78896944292822
6314E	centromere	INV	22	144940997.05	144.94099705	0.15178590217929
6314E	interstitial	DEL	7195	2579949747.49	2579.94974749	2.78881400965268
6314E	interstitial	DUP	30	2579949747.49	2579.94974749	0.0116281334662377
6314E	interstitial	INS	6354	2579949747.49	2579.94974749	2.46283866814915
6314E	interstitial	INV	275	2579949747.49	2579.94974749	0.106591223440512
6314E	telomere	DEL	3351	173929196.46	173.92919646	19.2664605379848
6314E	telomere	DUP	15	173929196.46	173.92919646	0.0862419898745963
6314E	telomere	INS	2457	173929196.46	173.92919646	14.1264379414589
6314E	telomere	INV	18	173929196.46	173.92919646	0.103490387849516
6324B	centromere	DEL	1750	144940997.05	144.94099705	12.0738785824435
6324B	centromere	INS	1306	144940997.05	144.94099705	9.01056310209783
6324B	centromere	INV	3	144940997.05	144.94099705	0.0206980775699031
6324B	interstitial	DEL	10887	2579949747.49	2579.94974749	4.21984963489767
6324B	interstitial	DUP	8	2579949747.49	2579.94974749	0.00310083559099672
6324B	interstitial	INS	10211	2579949747.49	2579.94974749	3.95782902745844
6324B	interstitial	INV	25	2579949747.49	2579.94974749	0.00969011122186476
6324B	telomere	DEL	3875	173929196.46	173.92919646	22.2791807176041
6324B	telomere	DUP	2	173929196.46	173.92919646	0.0114989319832795
6324B	telomere	INS	3085	173929196.46	173.92919646	17.7371025842086
6324B	telomere	INV	2	173929196.46	173.92919646	0.0114989319832795
