Sample_prefix	chr	final_average_TL_p75	chr_order	arm	final_average_TL_p75_kb	direction.x	chr_arm	median_TL	mad_TL	norm_TL	direction.y	direction
6269C	chr7p	7478	7	p	7.478	Positive	chr7p	4756.8	934.825	2.91091915599176	Positive	Positive
6269C	chr7q	4016	7	q	4.016	Positive	chr7q	4756.8	934.825	-0.792447784344664	Positive	Positive
6277A	chr7p	6403.5	7	p	6.4035	Positive	chr7p	5226.83333333333	1114.33333333333	1.05593778043674	Positive	Positive
6277A	chr7q	5808	7	q	5.808	Positive	chr7q	5226.83333333333	1114.33333333333	0.521537541130725	Positive	Positive
6285B	chr7p	3370	7	p	3.37	Positive	chr7p	3274.75	322	0.295807453416149	Positive	Positive
6285B	chr7q	3978	7	q	3.978	Positive	chr7q	3274.75	322	2.18400621118012	Positive	Positive
6298B	chr7p	5973	7	p	5.973	Positive	chr7p	5124.5	926.5	0.915812196438208	Positive	Positive
6298B	chr7q	3918.5	7	q	3.9185	Positive	chr7q	5124.5	926.5	-1.30167296276309	Positive	Positive
6314E	chr7p	1998.5	7	p	1.9985	Positive	chr7p	4374.5	1163.5	-2.04211431027073	Positive	Positive
6314E	chr7q	5512	7	q	5.512	Positive	chr7q	4374.5	1163.5	0.977653631284916	Positive	Positive
6324B	chr7p	3142	7	p	3.142	Positive	chr7p	5251.5	871.5	-2.42053930005737	Positive	Positive
6324B	chr7q	3970	7	q	3.97	Positive	chr7q	5251.5	871.5	-1.47045324153758	Positive	Positive
6365A	chr7p	6764.5	7	p	6.7645	Positive	chr7p	4419.25	882.65	2.65705545799581	Positive	Positive
6365A	chr7q	7389.25	7	q	7.38925	Positive	chr7q	4419.25	882.65	3.364867161389	Positive	Positive
6414C	chr7p	4883	7	p	4.883	Positive	chr7p	3494	384	3.6171875	Positive	Positive
6414C	chr7q	2906	7	q	2.906	Positive	chr7q	3494	384	-1.53125	Positive	Positive
6423A	chr7q	4276	7	q	4.276	Positive	chr7q	4392.25	1132.4375	-0.102654671891385	Positive	Positive
6436B	chr7p	6975	7	p	6.975	Positive	chr7p	5180.66666666667	695.799999999999	2.57880617035546	Positive	Positive
6436B	chr7q	5743.5	7	q	5.7435	Positive	chr7q	5180.66666666667	695.799999999999	0.808901025198808	Positive	Positive
6439C	chr7p	7063	7	p	7.063	Positive	chr7p	6026.88333333334	1509.25	0.686510960189939	Positive	Positive
6439C	chr7q	6938.5	7	q	6.9385	Positive	chr7q	6026.88333333334	1509.25	0.604019656562309	Positive	Positive
6478A	chr7p	9319	7	p	9.319	Positive	chr7p	5179.75	1593.75	2.59717647058824	Positive	Positive
6478A	chr7q	8043	7	q	8.043	Positive	chr7q	5179.75	1593.75	1.79654901960784	Positive	Positive
6483C	chr7p	7881.5	7	p	7.8815	Positive	chr7p	5076.5	1412.5	1.9858407079646	Positive	Positive
6483C	chr7q	6405.5	7	q	6.4055	Positive	chr7q	5076.5	1412.5	0.940884955752212	Positive	Positive
6500D	chr7p	7021	7	p	7.021	Positive	chr7p	5589	821	1.7442143727162	Positive	Positive
6500D	chr7q	6703	7	q	6.703	Positive	chr7q	5589	821	1.35688185140073	Positive	Positive
6605D	chr7p	7931	7	p	7.931	Positive	chr7p	5149.625	1144.25	2.43074065982084	Positive	Positive
6605D	chr7q	6898.75	7	q	6.89875	Positive	chr7q	5149.625	1144.25	1.52862136770811	Positive	Positive
2436A	chr8p	4764.75	8	p	4.76475	Negative	chr8p	5303	1180.08333333333	-0.45611185650731	Negative	Negative
2436A	chr8q	6406.33333333333	8	q	6.40633333333333	Negative	chr8q	5303	1180.08333333333	0.93496222018219	Negative	Neutral
3188	chr8p	2236.625	8	p	2.236625	Negative	chr8p	2824.125	399.5	-1.47058823529412	Negative	Negative
3188	chr8q	3307.66666666667	8	q	3.30766666666667	Negative	chr8q	2824.125	399.5	1.21036712557364	Negative	Neutral
3988	chr8p	4624.5	8	p	4.6245	Negative	chr8p	5689.5	1319.25	-0.807276861853326	Negative	Negative
3988	chr8q	4655	8	q	4.655	Negative	chr8q	5689.5	1319.25	-0.784157665340155	Negative	Neutral
6265D	chr8p	4356.58333333333	8	p	4.35658333333333	Negative	chr8p	5717	1149.5625	-1.18342122909078	Negative	Negative
6265D	chr8q	8339.5	8	q	8.3395	Negative	chr8q	5717	1149.5625	2.28130266949383	Negative	Neutral
6266D	chr8p	2143.5	8	p	2.1435	Negative	chr8p	4866	845.25	-3.2209405501331	Negative	Negative
6266D	chr8q	4278	8	q	4.278	Negative	chr8q	4866	845.25	-0.695652173913043	Negative	Neutral
6269C	chr8p	4595.5	8	p	4.5955	Negative	chr8p	4756.8	934.825	-0.172545663626882	Negative	Negative
6269C	chr8q	4293.5	8	q	4.2935	Negative	chr8q	4756.8	934.825	-0.49560078089482	Negative	Neutral
6277A	chr8p	3993	8	p	3.993	Negative	chr8p	5226.83333333333	1114.33333333333	-1.10723900688005	Negative	Negative
6277A	chr8q	5108.5	8	q	5.1085	Negative	chr8q	5226.83333333333	1114.33333333333	-0.10619204307508	Negative	Neutral
6285B	chr8p	3351.5	8	p	3.3515	Negative	chr8p	3274.75	322	0.238354037267081	Negative	Negative
6285B	chr8q	3230.5	8	q	3.2305	Negative	chr8q	3274.75	322	-0.137422360248447	Negative	Neutral
6298B	chr8p	4656	8	p	4.656	Negative	chr8p	5124.5	926.5	-0.505666486778197	Negative	Negative
6298B	chr8q	5850.5	8	q	5.8505	Negative	chr8q	5124.5	926.5	0.7835941716136	Negative	Neutral
6314E	chr8q	5195	8	q	5.195	Negative	chr8q	4374.5	1163.5	0.705199828104856	Negative	Neutral
6324B	chr8p	8228	8	p	8.228	Negative	chr8p	5251.5	871.5	3.41537578886976	Negative	Negative
6324B	chr8q	5409	8	q	5.409	Negative	chr8q	5251.5	871.5	0.180722891566265	Negative	Neutral
6365A	chr8p	2163	8	p	2.163	Negative	chr8p	4419.25	882.65	-2.55622273834476	Negative	Negative
6365A	chr8q	4360	8	q	4.36	Negative	chr8q	4419.25	882.65	-0.0671274004418512	Negative	Neutral
6414C	chr8p	3494	8	p	3.494	Negative	chr8p	3494	384	0	Negative	Negative
6414C	chr8q	2854.5	8	q	2.8545	Negative	chr8q	3494	384	-1.66536458333333	Negative	Neutral
6423A	chr8p	5568.5	8	p	5.5685	Negative	chr8p	4392.25	1132.4375	1.03868866935261	Negative	Negative
6423A	chr8q	2574	8	q	2.574	Negative	chr8q	4392.25	1132.4375	-1.60560737347536	Negative	Neutral
6436B	chr8p	3351.5	8	p	3.3515	Negative	chr8p	5180.66666666667	695.799999999999	-2.62886844878797	Negative	Negative
6436B	chr8q	4448	8	q	4.448	Negative	chr8q	5180.66666666667	695.799999999999	-1.05298457411134	Negative	Neutral
6439C	chr8p	8266.5	8	p	8.2665	Negative	chr8p	6026.88333333334	1509.25	1.48392689525703	Negative	Negative
6439C	chr8q	2447	8	q	2.447	Negative	chr8q	6026.88333333334	1509.25	-2.37196179117663	Negative	Neutral
6478A	chr8p	2506	8	p	2.506	Negative	chr8p	5179.75	1593.75	-1.67764705882353	Negative	Negative
6478A	chr8q	9318	8	q	9.318	Negative	chr8q	5179.75	1593.75	2.59654901960784	Negative	Neutral
6483C	chr8p	6333.5	8	p	6.3335	Negative	chr8p	5076.5	1412.5	0.889911504424779	Negative	Negative
6483C	chr8q	4014.5	8	q	4.0145	Negative	chr8q	5076.5	1412.5	-0.751858407079646	Negative	Neutral
6500D	chr8p	5258.75	8	p	5.25875	Negative	chr8p	5589	821	-0.402253349573691	Negative	Negative
6500D	chr8q	4764.5	8	q	4.7645	Negative	chr8q	5589	821	-1.00426309378806	Negative	Neutral
6605D	chr8p	5316	8	p	5.316	Negative	chr8p	5149.625	1144.25	0.145400917631636	Negative	Negative
6605D	chr8q	8427	8	q	8.427	Negative	chr8q	5149.625	1144.25	2.86421236617872	Negative	Neutral
2436A	chr9p	4389.58333333333	9	p	4.38958333333333	Negative	chr9p	5303	1180.08333333333	-0.774027257962013	Negative	Negative
2436A	chr9q	3546.25	9	q	3.54625	Negative	chr9q	5303	1180.08333333333	-1.48866605465716	Negative	Neutral
3188	chr9p	2822.5	9	p	2.8225	Negative	chr9p	2824.125	399.5	-0.00406758448060075	Negative	Negative
3188	chr9q	3129.7	9	q	3.1297	Negative	chr9q	2824.125	399.5	0.764893617021276	Negative	Neutral
3988	chr9p	6700.33333333333	9	p	6.70033333333333	Negative	chr9p	5689.5	1319.25	0.76621817952119	Negative	Negative
3988	chr9q	9083.5	9	q	9.0835	Negative	chr9q	5689.5	1319.25	2.57267386772788	Negative	Neutral
6265D	chr9p	3406.66666666667	9	p	3.40666666666667	Negative	chr9p	5717	1149.5625	-2.00975008608347	Negative	Negative
6265D	chr9q	6687	9	q	6.687	Negative	chr9q	5717	1149.5625	0.843799271461969	Negative	Neutral
6266D	chr9p	4410.5	9	p	4.4105	Negative	chr9p	4866	845.25	-0.538893818396924	Negative	Negative
6266D	chr9q	4862	9	q	4.862	Negative	chr9q	4866	845.25	-0.00473232771369417	Negative	Neutral
6269C	chr9p	3910	9	p	3.91	Negative	chr9p	4756.8	934.825	-0.905837991067847	Negative	Negative
6269C	chr9q	5691.625	9	q	5.691625	Negative	chr9q	4756.8	934.825	1	Negative	Neutral
6277A	chr9p	4765.25	9	p	4.76525	Negative	chr9p	5226.83333333333	1114.33333333333	-0.414223751121745	Negative	Negative
6277A	chr9q	6324.16666666667	9	q	6.32416666666667	Negative	chr9q	5226.83333333333	1114.33333333333	0.984744241699081	Negative	Neutral
6285B	chr9p	3559	9	p	3.559	Negative	chr9p	3274.75	322	0.882763975155279	Negative	Negative
6285B	chr9q	3186	9	q	3.186	Negative	chr9q	3274.75	322	-0.275621118012422	Negative	Neutral
6298B	chr9p	4324	9	p	4.324	Negative	chr9p	5124.5	926.5	-0.86400431732326	Negative	Negative
6298B	chr9q	4079	9	q	4.079	Negative	chr9q	5124.5	926.5	-1.12844036697248	Negative	Neutral
6314E	chr9p	3437	9	p	3.437	Negative	chr9p	4374.5	1163.5	-0.805758487322733	Negative	Negative
6314E	chr9q	1983.75	9	q	1.98375	Negative	chr9q	4374.5	1163.5	-2.05479157713795	Negative	Neutral
6324B	chr9p	5671.66666666667	9	p	5.67166666666667	Negative	chr9p	5251.5	871.5	0.482118951998474	Negative	Negative
6365A	chr9p	4174	9	p	4.174	Negative	chr9p	4419.25	882.65	-0.277856454993485	Negative	Negative
6365A	chr9q	1493.5	9	q	1.4935	Negative	chr9q	4419.25	882.65	-3.31473403954002	Negative	Neutral
6414C	chr9p	3395	9	p	3.395	Negative	chr9p	3494	384	-0.2578125	Negative	Negative
6423A	chr9p	4032	9	p	4.032	Negative	chr9p	4392.25	1132.4375	-0.318119101495668	Negative	Negative
6423A	chr9q	4864	9	q	4.864	Negative	chr9q	4392.25	1132.4375	0.416579281417297	Negative	Neutral
6436B	chr9p	5468.5	9	p	5.4685	Negative	chr9p	5180.66666666667	695.799999999999	0.41367251125802	Negative	Negative
6436B	chr9q	3770.5	9	q	3.7705	Negative	chr9q	5180.66666666667	695.799999999999	-2.02668391300183	Negative	Neutral
6439C	chr9p	3033	9	p	3.033	Negative	chr9p	6026.88333333334	1509.25	-1.98368947048755	Negative	Negative
6439C	chr9q	7025.4	9	q	7.0254	Negative	chr9q	6026.88333333334	1509.25	0.661597923913642	Negative	Neutral
6478A	chr9p	4708.5	9	p	4.7085	Negative	chr9p	5179.75	1593.75	-0.295686274509804	Negative	Negative
6478A	chr9q	1570	9	q	1.57	Negative	chr9q	5179.75	1593.75	-2.26494117647059	Negative	Neutral
6483C	chr9p	3180	9	p	3.18	Negative	chr9p	5076.5	1412.5	-1.34265486725664	Negative	Negative
6500D	chr9p	5714.5	9	p	5.7145	Negative	chr9p	5589	821	0.152862362971985	Negative	Negative
6500D	chr9q	3411	9	q	3.411	Negative	chr9q	5589	821	-2.65286236297199	Negative	Neutral
6605D	chr9p	5118	9	p	5.118	Negative	chr9p	5149.625	1144.25	-0.0276381909547739	Negative	Negative
6605D	chr9q	5288	9	q	5.288	Negative	chr9q	5149.625	1144.25	0.120930740659821	Negative	Neutral
2436A	chr10p	3611.75	10	p	3.61175	Negative	chr10p	5303	1180.08333333333	-1.43316149989408	Negative	Negative
2436A	chr10q	2732.75	10	q	2.73275	Positive	chr10q	5303	1180.08333333333	-2.17802415083681	Positive	Neutral
3188	chr10p	2136	10	p	2.136	Negative	chr10p	2824.125	399.5	-1.72246558197747	Negative	Negative
3188	chr10q	3496.5	10	q	3.4965	Positive	chr10q	2824.125	399.5	1.68304130162703	Positive	Neutral
3988	chr10p	3769.75	10	p	3.76975	Negative	chr10p	5689.5	1319.25	-1.45518286905439	Negative	Negative
3988	chr10q	5998.5	10	q	5.9985	Positive	chr10q	5689.5	1319.25	0.234223990903923	Positive	Neutral
6265D	chr10p	4818	10	p	4.818	Negative	chr10p	5717	1149.5625	-0.782036644375578	Negative	Negative
6265D	chr10q	4609.75	10	q	4.60975	Positive	chr10q	5717	1149.5625	-0.963192518893057	Positive	Neutral
6266D	chr10p	5948	10	p	5.948	Negative	chr10p	4866	845.25	1.28009464655427	Negative	Negative
6266D	chr10q	5216	10	q	5.216	Positive	chr10q	4866	845.25	0.41407867494824	Positive	Neutral
6269C	chr10p	3778.5	10	p	3.7785	Negative	chr10p	4756.8	934.825	-1.04650603054048	Negative	Negative
6269C	chr10q	6423.5	10	q	6.4235	Positive	chr10q	4756.8	934.825	1.78290054288236	Positive	Neutral
6285B	chr10p	4350	10	p	4.35	Negative	chr10p	3274.75	322	3.33928571428571	Negative	Negative
6285B	chr10q	3308	10	q	3.308	Positive	chr10q	3274.75	322	0.103260869565217	Positive	Neutral
6298B	chr10p	4781.5	10	p	4.7815	Negative	chr10p	5124.5	926.5	-0.370210469508904	Negative	Negative
6298B	chr10q	5977	10	q	5.977	Positive	chr10q	5124.5	926.5	0.920129519697787	Positive	Neutral
6314E	chr10p	9573	10	p	9.573	Negative	chr10p	4374.5	1163.5	4.46798452943704	Negative	Negative
6314E	chr10q	4313	10	q	4.313	Positive	chr10q	4374.5	1163.5	-0.0528577567683713	Positive	Neutral
6324B	chr10p	5622.5	10	p	5.6225	Negative	chr10p	5251.5	871.5	0.42570281124498	Negative	Negative
6324B	chr10q	4463	10	q	4.463	Positive	chr10q	5251.5	871.5	-0.904761904761905	Positive	Neutral
6365A	chr10p	3500.66666666667	10	p	3.50066666666667	Negative	chr10p	4419.25	882.65	-1.04071073849581	Negative	Negative
6365A	chr10q	4528.75	10	q	4.52875	Positive	chr10q	4419.25	882.65	0.124058233727978	Positive	Neutral
6414C	chr10p	3418	10	p	3.418	Negative	chr10p	3494	384	-0.197916666666667	Negative	Negative
6414C	chr10q	3135	10	q	3.135	Positive	chr10q	3494	384	-0.934895833333333	Positive	Neutral
6423A	chr10p	3955	10	p	3.955	Negative	chr10p	4392.25	1132.4375	-0.386114023952757	Negative	Negative
6423A	chr10q	4892	10	q	4.892	Positive	chr10q	4392.25	1132.4375	0.441304707765329	Positive	Neutral
6436B	chr10p	8161	10	p	8.161	Negative	chr10p	5180.66666666667	695.799999999999	4.28331896138737	Negative	Negative
6436B	chr10q	6552	10	q	6.552	Positive	chr10q	5180.66666666667	695.799999999999	1.97087285618473	Positive	Neutral
6439C	chr10p	4815.5	10	p	4.8155	Negative	chr10p	6026.88333333334	1509.25	-0.802639279995584	Negative	Negative
6439C	chr10q	6709.5	10	q	6.7095	Positive	chr10q	6026.88333333334	1509.25	0.452288664347633	Positive	Neutral
6478A	chr10p	3217	10	p	3.217	Negative	chr10p	5179.75	1593.75	-1.23152941176471	Negative	Negative
6478A	chr10q	3380.5	10	q	3.3805	Positive	chr10q	5179.75	1593.75	-1.12894117647059	Positive	Neutral
6483C	chr10p	4391	10	p	4.391	Negative	chr10p	5076.5	1412.5	-0.485309734513274	Negative	Negative
6483C	chr10q	7840.5	10	q	7.8405	Positive	chr10q	5076.5	1412.5	1.95681415929204	Positive	Neutral
6500D	chr10p	4404.66666666667	10	p	4.40466666666667	Negative	chr10p	5589	821	-1.44254973609419	Negative	Negative
6500D	chr10q	5336.5	10	q	5.3365	Positive	chr10q	5589	821	-0.307551766138855	Positive	Neutral
6605D	chr10p	3380	10	p	3.38	Negative	chr10p	5149.625	1144.25	-1.54653703299104	Negative	Negative
6605D	chr10q	5264.75	10	q	5.26475	Positive	chr10q	5149.625	1144.25	0.100611754424295	Positive	Neutral
2436A	chr11p	6766	11	p	6.766	Negative	chr11p	5303	1180.08333333333	1.23974295600593	Negative	Negative
2436A	chr11q	5303	11	q	5.303	Negative	chr11q	5303	1180.08333333333	0	Positive	Neutral
3188	chr11p	2651.25	11	p	2.65125	Negative	chr11p	2824.125	399.5	-0.432728410513141	Negative	Negative
3188	chr11q	3293	11	q	3.293	Negative	chr11q	2824.125	399.5	1.17365456821026	Positive	Neutral
3988	chr11p	3587	11	p	3.587	Negative	chr11p	5689.5	1319.25	-1.59370854652265	Negative	Negative
3988	chr11q	5008.33333333333	11	q	5.00833333333333	Negative	chr11q	5689.5	1319.25	-0.516328722127474	Positive	Neutral
6265D	chr11p	4933	11	p	4.933	Negative	chr11p	5717	1149.5625	-0.681998586418746	Negative	Negative
6265D	chr11q	4069	11	q	4.069	Negative	chr11q	5717	1149.5625	-1.4335888653292	Positive	Neutral
6266D	chr11p	4686.25	11	p	4.68625	Negative	chr11p	4866	845.25	-0.212658976634132	Negative	Negative
6266D	chr11q	6269	11	q	6.269	Negative	chr11q	4866	845.25	1.65986394557823	Positive	Neutral
6269C	chr11q	3914	11	q	3.914	Negative	chr11q	4756.8	934.825	-0.901559115342444	Positive	Neutral
6277A	chr11p	3009	11	p	3.009	Negative	chr11p	5226.83333333333	1114.33333333333	-1.99027819323961	Negative	Negative
6277A	chr11q	2569.25	11	q	2.56925	Negative	chr11q	5226.83333333333	1114.33333333333	-2.38490876458271	Positive	Neutral
6285B	chr11q	2939	11	q	2.939	Negative	chr11q	3274.75	322	-1.04270186335404	Positive	Neutral
6298B	chr11p	3572	11	p	3.572	Negative	chr11p	5124.5	926.5	-1.67566109012412	Negative	Negative
6298B	chr11q	7347.5	11	q	7.3475	Negative	chr11q	5124.5	926.5	2.39935240151106	Positive	Neutral
6314E	chr11q	6660	11	q	6.66	Negative	chr11q	4374.5	1163.5	1.96433175762785	Positive	Neutral
6324B	chr11p	11241.5	11	p	11.2415	Negative	chr11p	5251.5	871.5	6.87320711417097	Negative	Negative
6324B	chr11q	7423.5	11	q	7.4235	Negative	chr11q	5251.5	871.5	2.49225473321859	Positive	Neutral
6365A	chr11q	4253.25	11	q	4.25325	Negative	chr11q	4419.25	882.65	-0.188070016427803	Positive	Neutral
6414C	chr11q	3541.5	11	q	3.5415	Negative	chr11q	3494	384	0.123697916666667	Positive	Neutral
6423A	chr11p	6391	11	p	6.391	Negative	chr11p	4392.25	1132.4375	1.76499806832607	Negative	Negative
6423A	chr11q	3274.75	11	q	3.27475	Negative	chr11q	4392.25	1132.4375	-0.986809426568795	Positive	Neutral
6436B	chr11p	164	11	p	0.164	Negative	chr11p	5180.66666666667	695.799999999999	-7.20992622401074	Negative	Negative
6436B	chr11q	8697	11	q	8.697	Negative	chr11q	5180.66666666667	695.799999999999	5.05365526492287	Positive	Neutral
6439C	chr11p	2171	11	p	2.171	Negative	chr11p	6026.88333333334	1509.25	-2.55483407873668	Negative	Negative
6439C	chr11q	6321.25	11	q	6.32125	Negative	chr11q	6026.88333333334	1509.25	0.195041687372314	Positive	Neutral
6478A	chr11p	3144	11	p	3.144	Negative	chr11p	5179.75	1593.75	-1.27733333333333	Negative	Negative
6478A	chr11q	5482.66666666667	11	q	5.48266666666667	Negative	chr11q	5179.75	1593.75	0.190065359477126	Positive	Neutral
6483C	chr11p	6273.5	11	p	6.2735	Negative	chr11p	5076.5	1412.5	0.847433628318584	Negative	Negative
6483C	chr11q	3571.5	11	q	3.5715	Negative	chr11q	5076.5	1412.5	-1.06548672566372	Positive	Neutral
6500D	chr11q	5690	11	q	5.69	Negative	chr11q	5589	821	0.123020706455542	Positive	Neutral
6605D	chr11p	3181	11	p	3.181	Negative	chr11p	5149.625	1144.25	-1.7204500764693	Negative	Negative
6605D	chr11q	2351	11	q	2.351	Negative	chr11q	5149.625	1144.25	-2.44581603670527	Positive	Neutral
2436A	chr12p	5319.4	12	p	5.3194	Positive	chr12p	5303	1180.08333333333	0.0138973236353362	Positive	Neutral
2436A	chr12q	6085	12	q	6.085	Positive	chr12q	5303	1180.08333333333	0.662665066026412	Positive	Neutral
3188	chr12p	2473.5	12	p	2.4735	Positive	chr12p	2824.125	399.5	-0.877659574468085	Positive	Neutral
3188	chr12q	2691	12	q	2.691	Positive	chr12q	2824.125	399.5	-0.333229036295369	Positive	Neutral
3988	chr12p	8105	12	p	8.105	Positive	chr12p	5689.5	1319.25	1.83096456319879	Positive	Neutral
3988	chr12q	4392.5	12	q	4.3925	Positive	chr12q	5689.5	1319.25	-0.983134356642031	Positive	Neutral
6265D	chr12p	6917	12	p	6.917	Positive	chr12p	5717	1149.5625	1.04387538737563	Positive	Neutral
6265D	chr12q	7486	12	q	7.486	Positive	chr12q	5717	1149.5625	1.53884630022291	Positive	Neutral
6266D	chr12p	4092.5	12	p	4.0925	Positive	chr12p	4866	845.25	-0.915113871635611	Positive	Neutral
6266D	chr12q	2331	12	q	2.331	Positive	chr12q	4866	845.25	-2.99911268855368	Positive	Neutral
6269C	chr12p	4043.16666666667	12	p	4.04316666666667	Positive	chr12p	4756.8	934.825	-0.76338708670963	Positive	Neutral
6269C	chr12q	4918.75	12	q	4.91875	Positive	chr12q	4756.8	934.825	0.17324098093226	Positive	Neutral
6277A	chr12p	6638.75	12	p	6.63875	Positive	chr12p	5226.83333333333	1114.33333333333	1.26705055339516	Positive	Neutral
6277A	chr12q	6703	12	q	6.703	Positive	chr12q	5226.83333333333	1114.33333333333	1.32470834579719	Positive	Neutral
6285B	chr12p	3126.5	12	p	3.1265	Positive	chr12p	3274.75	322	-0.460403726708075	Positive	Neutral
6285B	chr12q	3656	12	q	3.656	Positive	chr12q	3274.75	322	1.18400621118012	Positive	Neutral
6298B	chr12p	3916	12	p	3.916	Positive	chr12p	5124.5	926.5	-1.30437128980032	Positive	Neutral
6298B	chr12q	5358.5	12	q	5.3585	Positive	chr12q	5124.5	926.5	0.252563410685375	Positive	Neutral
6314E	chr12q	8929	12	q	8.929	Positive	chr12q	4374.5	1163.5	3.91448216587881	Positive	Neutral
6324B	chr12p	3744.5	12	p	3.7445	Positive	chr12p	5251.5	871.5	-1.72920252438325	Positive	Neutral
6324B	chr12q	3334	12	q	3.334	Positive	chr12q	5251.5	871.5	-2.20022948938612	Positive	Neutral
6365A	chr12p	6876	12	p	6.876	Positive	chr12p	4419.25	882.65	2.78337959553617	Positive	Neutral
6365A	chr12q	4486.5	12	q	4.4865	Positive	chr12q	4419.25	882.65	0.0761910156913839	Positive	Neutral
6414C	chr12p	3801.5	12	p	3.8015	Positive	chr12p	3494	384	0.80078125	Positive	Neutral
6414C	chr12q	3275.25	12	q	3.27525	Positive	chr12q	3494	384	-0.569661458333333	Positive	Neutral
6423A	chr12p	4860.5	12	p	4.8605	Positive	chr12p	4392.25	1132.4375	0.413488603123793	Positive	Neutral
6423A	chr12q	5828	12	q	5.828	Positive	chr12q	4392.25	1132.4375	1.26784038854241	Positive	Neutral
6436B	chr12p	5063.5	12	p	5.0635	Positive	chr12p	5180.66666666667	695.799999999999	-0.168391300182049	Positive	Neutral
6436B	chr12q	4837.25	12	q	4.83725	Positive	chr12q	5180.66666666667	695.799999999999	-0.493556577560607	Positive	Neutral
6439C	chr12p	2460	12	p	2.46	Positive	chr12p	6026.88333333334	1509.25	-2.36334824140026	Positive	Neutral
6439C	chr12q	6020.5	12	q	6.0205	Positive	chr12q	6026.88333333334	1509.25	-0.00422947380045389	Positive	Neutral
6478A	chr12p	3972	12	p	3.972	Positive	chr12p	5179.75	1593.75	-0.757803921568627	Positive	Neutral
6478A	chr12q	6452.5	12	q	6.4525	Positive	chr12q	5179.75	1593.75	0.798588235294118	Positive	Neutral
6483C	chr12p	5712.5	12	p	5.7125	Positive	chr12p	5076.5	1412.5	0.450265486725664	Positive	Neutral
6483C	chr12q	3204	12	q	3.204	Positive	chr12q	5076.5	1412.5	-1.32566371681416	Positive	Neutral
6500D	chr12p	6425.5	12	p	6.4255	Positive	chr12p	5589	821	1.01887941534714	Positive	Neutral
6500D	chr12q	6895.5	12	q	6.8955	Positive	chr12q	5589	821	1.59135200974421	Positive	Neutral
6605D	chr12p	6821.16666666667	12	p	6.82116666666667	Positive	chr12p	5149.625	1144.25	1.46081858568204	Positive	Neutral
6605D	chr12q	3801.25	12	q	3.80125	Positive	chr12q	5149.625	1144.25	-1.17839195979899	Positive	Neutral
2436A	chr13p	7972.28571428571	13	p	7.97228571428571	Negative	chr13p	5303	1180.08333333333	2.26194679552493	Negative	Neutral
2436A	chr13q	5454	13	q	5.454	Positive	chr13q	5303	1180.08333333333	0.127957065179013	Positive	Positive
3188	chr13p	4230.5	13	p	4.2305	Negative	chr13p	2824.125	399.5	3.520337922403	Negative	Neutral
3188	chr13q	3465	13	q	3.465	Positive	chr13q	2824.125	399.5	1.60419274092616	Positive	Positive
3988	chr13p	8283	13	p	8.283	Negative	chr13p	5689.5	1319.25	1.96588971006254	Negative	Neutral
3988	chr13q	5875.33333333333	13	q	5.87533333333333	Positive	chr13q	5689.5	1319.25	0.140862864001008	Positive	Positive
6265D	chr13p	3786.5	13	p	3.7865	Negative	chr13p	5717	1149.5625	-1.67933452944055	Negative	Neutral
6265D	chr13q	11754	13	q	11.754	Positive	chr13q	5717	1149.5625	5.25156309465558	Positive	Positive
6266D	chr13p	7050	13	p	7.05	Negative	chr13p	4866	845.25	2.58385093167702	Negative	Neutral
6266D	chr13q	7529.66666666667	13	q	7.52966666666667	Positive	chr13q	4866	845.25	3.15133589667752	Positive	Positive
6269C	chr13p	5922	13	p	5.922	Negative	chr13p	4756.8	934.825	1.24643649880994	Negative	Neutral
6269C	chr13q	5219	13	q	5.219	Positive	chr13q	4756.8	934.825	0.494424090070334	Positive	Positive
6277A	chr13p	4624	13	p	4.624	Negative	chr13p	5226.83333333333	1114.33333333333	-0.540981154651509	Negative	Neutral
6277A	chr13q	7173.33333333333	13	q	7.17333333333333	Positive	chr13q	5226.83333333333	1114.33333333333	1.74678432545618	Positive	Positive
6285B	chr13p	4943	13	p	4.943	Negative	chr13p	3274.75	322	5.18090062111801	Negative	Neutral
6285B	chr13q	4999.5	13	q	4.9995	Positive	chr13q	3274.75	322	5.35636645962733	Positive	Positive
6298B	chr13p	4290.75	13	p	4.29075	Negative	chr13p	5124.5	926.5	-0.899892066918511	Negative	Neutral
6298B	chr13q	5124.5	13	q	5.1245	Positive	chr13q	5124.5	926.5	0	Positive	Positive
6314E	chr13p	4142	13	p	4.142	Negative	chr13p	4374.5	1163.5	-0.199828104856038	Negative	Neutral
6314E	chr13q	3436	13	q	3.436	Positive	chr13q	4374.5	1163.5	-0.806617963042544	Positive	Positive
6324B	chr13p	5372.5	13	p	5.3725	Negative	chr13p	5251.5	871.5	0.138841078600115	Negative	Neutral
6365A	chr13p	3575.33333333333	13	p	3.57533333333333	Negative	chr13p	4419.25	882.65	-0.95611699616685	Negative	Neutral
6365A	chr13q	6328.5	13	q	6.3285	Positive	chr13q	4419.25	882.65	2.16308842689628	Positive	Positive
6414C	chr13p	3878	13	p	3.878	Negative	chr13p	3494	384	1	Negative	Neutral
6414C	chr13q	3207.5	13	q	3.2075	Positive	chr13q	3494	384	-0.74609375	Positive	Positive
6423A	chr13p	3496.5	13	p	3.4965	Negative	chr13p	4392.25	1132.4375	-0.790992880401788	Negative	Neutral
