Sample_prefix	chr	final_average_TL_p75	chr_order	arm	final_average_TL_p75_kb	direction.x	chr_arm	median_TL	mad_TL	norm_TL	direction.y	direction
6298B	chr2p	4919.5	2	p	4.9195	Negative	chr2p	5124.5	926.5	-0.221262817053427	Negative	Neutral
6314E	chr2p	5538	2	p	5.538	Negative	chr2p	4374.5	1163.5	1	Negative	Neutral
6314E	chr2q	3171	2	q	3.171	Positive	chr2q	4374.5	1163.5	-1.03437902879244	Positive	Neutral
6324B	chr2p	8341	2	p	8.341	Negative	chr2p	5251.5	871.5	3.54503729202524	Negative	Neutral
6324B	chr2q	6927	2	q	6.927	Positive	chr2q	5251.5	871.5	1.92254733218589	Positive	Neutral
6365A	chr2p	3297.75	2	p	3.29775	Negative	chr2p	4419.25	882.65	-1.27060556279386	Negative	Neutral
6365A	chr2q	7584.5	2	q	7.5845	Positive	chr2q	4419.25	882.65	3.58607602107291	Positive	Neutral
6414C	chr2p	4373.5	2	p	4.3735	Negative	chr2p	3494	384	2.29036458333333	Negative	Neutral
6414C	chr2q	6082	2	q	6.082	Positive	chr2q	3494	384	6.73958333333333	Positive	Neutral
6423A	chr2p	8609	2	p	8.609	Negative	chr2p	4392.25	1132.4375	3.72360505546664	Negative	Neutral
6423A	chr2q	5884	2	q	5.884	Positive	chr2q	4392.25	1132.4375	1.31729124123848	Positive	Neutral
6436B	chr2p	5830.5	2	p	5.8305	Negative	chr2p	5180.66666666667	695.799999999999	0.933936955063712	Negative	Neutral
6439C	chr2p	5902.5	2	p	5.9025	Negative	chr2p	6026.88333333334	1509.25	-0.082414002539894	Negative	Neutral
6439C	chr2q	5111.5	2	q	5.1115	Positive	chr2q	6026.88333333334	1509.25	-0.606515377394954	Positive	Neutral
6478A	chr2p	5008.5	2	p	5.0085	Negative	chr2p	5179.75	1593.75	-0.107450980392157	Negative	Neutral
6478A	chr2q	2859	2	q	2.859	Positive	chr2q	5179.75	1593.75	-1.4561568627451	Positive	Neutral
6483C	chr2p	4248	2	p	4.248	Negative	chr2p	5076.5	1412.5	-0.586548672566372	Negative	Neutral
6483C	chr2q	3141	2	q	3.141	Positive	chr2q	5076.5	1412.5	-1.37026548672566	Positive	Neutral
6500D	chr2p	4894.75	2	p	4.89475	Negative	chr2p	5589	821	-0.845615103532278	Negative	Neutral
6500D	chr2q	7224	2	q	7.224	Positive	chr2q	5589	821	1.99147381242387	Positive	Neutral
6605D	chr2p	4374	2	p	4.374	Negative	chr2p	5149.625	1144.25	-0.677845750491588	Negative	Neutral
2436A	chr3p	4739.2	3	p	4.7392	Negative	chr3p	5303	1180.08333333333	-0.477762869853825	Negative	Negative
2436A	chr3q	4078.05	3	q	4.07805	Negative	chr3q	5303	1180.08333333333	-1.03801991384789	Negative	Negative
3188	chr3p	2890.5	3	p	2.8905	Negative	chr3p	2824.125	399.5	0.166145181476846	Negative	Negative
3188	chr3q	2360.8	3	q	2.3608	Negative	chr3q	2824.125	399.5	-1.15976220275344	Negative	Negative
3988	chr3p	10037.5	3	p	10.0375	Negative	chr3p	5689.5	1319.25	3.29581201440212	Negative	Negative
3988	chr3q	2135.21428571429	3	q	2.13521428571429	Negative	chr3q	5689.5	1319.25	-2.69417147188608	Negative	Negative
6265D	chr3p	5329.5	3	p	5.3295	Negative	chr3p	5717	1149.5625	-0.337084760506714	Negative	Negative
6265D	chr3q	4617.5	3	q	4.6175	Negative	chr3q	5717	1149.5625	-0.956450823682923	Negative	Negative
6266D	chr3p	12829.5	3	p	12.8295	Negative	chr3p	4866	845.25	9.42147293700089	Negative	Negative
6266D	chr3q	5562	3	q	5.562	Negative	chr3q	4866	845.25	0.823425022182786	Negative	Negative
6269C	chr3p	9171	3	p	9.171	Negative	chr3p	4756.8	934.825	4.72195330676865	Negative	Negative
6269C	chr3q	4462.125	3	q	4.462125	Negative	chr3q	4756.8	934.825	-0.315219426095794	Negative	Negative
6277A	chr3p	5097.9	3	p	5.0979	Negative	chr3p	5226.83333333333	1114.33333333333	-0.115704457074482	Negative	Negative
6277A	chr3q	6069	3	q	6.069	Negative	chr3q	5226.83333333333	1114.33333333333	0.755758300927316	Negative	Negative
6285B	chr3p	2985	3	p	2.985	Negative	chr3p	3274.75	322	-0.899844720496894	Negative	Negative
6285B	chr3q	2050.25	3	q	2.05025	Negative	chr3q	3274.75	322	-3.8027950310559	Negative	Negative
6298B	chr3p	5978.5	3	p	5.9785	Negative	chr3p	5124.5	926.5	0.92174851592013	Negative	Negative
6298B	chr3q	6844.5	3	q	6.8445	Negative	chr3q	5124.5	926.5	1.856449001619	Negative	Negative
6314E	chr3p	1922	3	p	1.922	Negative	chr3p	4374.5	1163.5	-2.10786420283627	Negative	Negative
6314E	chr3q	3415.5	3	q	3.4155	Negative	chr3q	4374.5	1163.5	-0.824237215298668	Negative	Negative
6324B	chr3p	3953	3	p	3.953	Negative	chr3p	5251.5	871.5	-1.48995983935743	Negative	Negative
6324B	chr3q	5117	3	q	5.117	Negative	chr3q	5251.5	871.5	-0.154331612162937	Negative	Negative
6365A	chr3p	3834.33333333333	3	p	3.83433333333333	Negative	chr3p	4419.25	882.65	-0.66268245246323	Negative	Negative
6365A	chr3q	3536.6	3	q	3.5366	Negative	chr3q	4419.25	882.65	-1	Negative	Negative
6414C	chr3p	7371.25	3	p	7.37125	Negative	chr3p	3494	384	10.0970052083333	Negative	Negative
6414C	chr3q	3291.5	3	q	3.2915	Negative	chr3q	3494	384	-0.52734375	Negative	Negative
6423A	chr3p	3541	3	p	3.541	Negative	chr3p	4392.25	1132.4375	-0.751697113527237	Negative	Negative
6423A	chr3q	3244.875	3	q	3.244875	Negative	chr3q	4392.25	1132.4375	-1.0131905734312	Negative	Negative
6436B	chr3p	4486.5	3	p	4.4865	Negative	chr3p	5180.66666666667	695.799999999999	-0.99765258215963	Negative	Negative
