"Sample_prefix","chr","final_average_TL_p75","chr_order","arm"
"6265D","chr19q",6555,19,"q"
"6266D","chr19p",4961.46428571429,19,"p"
"6266D","chr19q",5271,19,"q"
"6269C","chr19q",5292,19,"q"
"6277A","chr19p",6247,19,"p"
"6277A","chr19q",2716.5,19,"q"
"6285B","chr19p",3348.66666666667,19,"p"
"6285B","chr19q",1982.33333333333,19,"q"
"6298B","chr19p",6994,19,"p"
"6298B","chr19q",4602,19,"q"
"6314E","chr19p",1579.25,19,"p"
"6314E","chr19q",6479.5,19,"q"
"6324B","chr19p",187,19,"p"
"6324B","chr19q",5251.5,19,"q"
"6365A","chr19p",3323,19,"p"
"6365A","chr19q",5301,19,"q"
"6414C","chr19p",4113.2,19,"p"
"6423A","chr19p",11089,19,"p"
"6423A","chr19q",2740,19,"q"
"6436B","chr19p",2718,19,"p"
"6436B","chr19q",3874.5,19,"q"
"6439C","chr19q",6130,19,"q"
"6478A","chr19p",3424.66666666667,19,"p"
"6478A","chr19q",4785.66666666667,19,"q"
"6483C","chr19p",5167.5,19,"p"
"6483C","chr19q",4462.5,19,"q"
"6500D","chr19p",5300,19,"p"
"6500D","chr19q",5812.5,19,"q"
"6605D","chr19p",5374,19,"p"
"6605D","chr19q",4100.5,19,"q"
"2436A","chr20p",5707.1,20,"p"
"2436A","chr20q",4378.4,20,"q"
"3188","chr20p",2923.75,20,"p"
"3188","chr20q",2868.25,20,"q"
"3988","chr20p",3244,20,"p"
"3988","chr20q",7025.5,20,"q"
"6265D","chr20p",5561,20,"p"
"6265D","chr20q",4525.125,20,"q"
"6266D","chr20p",3651.5,20,"p"
"6266D","chr20q",1916,20,"q"
"6269C","chr20p",3327.25,20,"p"
"6269C","chr20q",5551.5,20,"q"
"6277A","chr20p",8050.5,20,"p"
"6277A","chr20q",3514.5,20,"q"
"6285B","chr20p",3150.25,20,"p"
"6285B","chr20q",2429,20,"q"
"6298B","chr20p",5506.5,20,"p"
"6298B","chr20q",2738.66666666667,20,"q"
"6314E","chr20p",6575,20,"p"
"6324B","chr20p",2322,20,"p"
"6324B","chr20q",5013,20,"q"
"6365A","chr20p",5565,20,"p"
"6365A","chr20q",3471.25,20,"q"
"6414C","chr20p",3327.66666666667,20,"p"
"6414C","chr20q",3457.75,20,"q"
"6423A","chr20p",5568.75,20,"p"
"6423A","chr20q",3727.75,20,"q"
"6436B","chr20p",4867.33333333333,20,"p"
"6436B","chr20q",5595.5,20,"q"
"6439C","chr20p",3438,20,"p"
"6439C","chr20q",2376,20,"q"
"6478A","chr20p",5495,20,"p"
"6478A","chr20q",6056.33333333333,20,"q"
"6483C","chr20p",4762.25,20,"p"
"6483C","chr20q",6776.33333333333,20,"q"
"6500D","chr20p",6467.5,20,"p"
"6500D","chr20q",6939,20,"q"
"6605D","chr20p",5215,20,"p"
"6605D","chr20q",4242.75,20,"q"
"2436A","chr21p",6595.58333333333,21,"p"
"2436A","chr21q",9482.6,21,"q"
"3188","chr21p",2963.5,21,"p"
"3188","chr21q",3706,21,"q"
"3988","chr21p",8405,21,"p"
"3988","chr21q",9040.5,21,"q"
"6265D","chr21p",10534.875,21,"p"
"6265D","chr21q",6390,21,"q"
"6266D","chr21p",4765,21,"p"
"6266D","chr21q",7273,21,"q"
"6269C","chr21p",3810.5,21,"p"
"6269C","chr21q",2735,21,"q"
"6277A","chr21p",4229,21,"p"
"6277A","chr21q",4477,21,"q"
"6285B","chr21p",3390.5,21,"p"
"6285B","chr21q",2966.5,21,"q"
"6298B","chr21p",6278.5,21,"p"
"6298B","chr21q",7714,21,"q"
"6314E","chr21p",5084.5,21,"p"
"6314E","chr21q",4443,21,"q"
"6324B","chr21p",4962,21,"p"
"6324B","chr21q",4380,21,"q"
"6365A","chr21p",5942,21,"p"
"6365A","chr21q",4637.66666666667,21,"q"
"6414C","chr21p",3839,21,"p"
"6414C","chr21q",3218,21,"q"
"6423A","chr21p",9530,21,"p"
"6423A","chr21q",2922,21,"q"
"6436B","chr21p",5204.75,21,"p"
"6436B","chr21q",3587,21,"q"
"6439C","chr21p",5695,21,"p"
"6439C","chr21q",3747,21,"q"
"6478A","chr21p",4154,21,"p"
"6478A","chr21q",6340,21,"q"
"6483C","chr21q",8830,21,"q"
"6500D","chr21p",7434,21,"p"
"6500D","chr21q",5866.5,21,"q"
"6605D","chr21q",7687,21,"q"
"2436A","chr22q",7070.1,22,"q"
"3188","chr22p",2627.8,22,"p"
"3188","chr22q",2676,22,"q"
"3988","chr22p",8358,22,"p"
"3988","chr22q",7252.16666666667,22,"q"
"6265D","chr22p",5696,22,"p"
"6265D","chr22q",8057.5,22,"q"
"6266D","chr22p",3949,22,"p"
"6266D","chr22q",8680,22,"q"
"6269C","chr22p",5995.5,22,"p"
"6269C","chr22q",3979,22,"q"
"6277A","chr22q",5396.75,22,"q"
"6285B","chr22p",4185.25,22,"p"
"6285B","chr22q",2699.5,22,"q"
"6298B","chr22p",5762,22,"p"
"6298B","chr22q",5574.5,22,"q"
"6314E","chr22p",3579,22,"p"
"6314E","chr22q",4374.5,22,"q"
"6324B","chr22q",5772,22,"q"
"6365A","chr22p",3611.83333333333,22,"p"
"6365A","chr22q",5419.5,22,"q"
"6414C","chr22p",4584.5,22,"p"
"6414C","chr22q",3356.5,22,"q"
"6423A","chr22p",5817,22,"p"
"6423A","chr22q",3632.5,22,"q"
"6436B","chr22p",6372.5,22,"p"
"6436B","chr22q",6561,22,"q"
"6439C","chr22p",8873.5,22,"p"
"6439C","chr22q",5596.75,22,"q"
"6478A","chr22p",6241,22,"p"
"6478A","chr22q",5179.75,22,"q"
"6483C","chr22p",9634,22,"p"
"6483C","chr22q",5352.5,22,"q"
"6500D","chr22p",4768,22,"p"
"6500D","chr22q",3249.5,22,"q"
"6605D","chr22p",5490.25,22,"p"
"6605D","chr22q",3118,22,"q"
