"Sample_prefix","chr","final_average_TL_p75","chr_order","arm"
"3988","chr5p",5688.66666666667,5,"p"
"3988","chr5q",6124.66666666667,5,"q"
"6265D","chr5p",7076,5,"p"
"6266D","chr5p",4185.5,5,"p"
"6266D","chr5q",3372,5,"q"
"6269C","chr5p",5932.5,5,"p"
"6269C","chr5q",3078,5,"q"
"6277A","chr5p",5226.83333333333,5,"p"
"6277A","chr5q",8993,5,"q"
"6285B","chr5p",3228,5,"p"
"6285B","chr5q",3251.5,5,"q"
"6298B","chr5p",10733.5,5,"p"
"6298B","chr5q",3698,5,"q"
"6314E","chr5p",9230,5,"p"
"6314E","chr5q",1415,5,"q"
"6324B","chr5p",4419,5,"p"
"6324B","chr5q",11015.5,5,"q"
"6365A","chr5p",3540,5,"p"
"6365A","chr5q",5311,5,"q"
"6414C","chr5p",3302,5,"p"
"6414C","chr5q",5114.5,5,"q"
"6423A","chr5p",9706,5,"p"
"6423A","chr5q",3837.5,5,"q"
"6436B","chr5p",5587.5,5,"p"
"6436B","chr5q",7119.5,5,"q"
"6439C","chr5p",9609,5,"p"
"6439C","chr5q",4512,5,"q"
"6478A","chr5p",4829.5,5,"p"
"6478A","chr5q",9295.66666666667,5,"q"
"6483C","chr5p",6910,5,"p"
"6483C","chr5q",3951,5,"q"
"6500D","chr5p",6060.5,5,"p"
"6500D","chr5q",4729.5,5,"q"
"6605D","chr5p",8951.25,5,"p"
"6605D","chr5q",4559,5,"q"
"2436A","chr6p",4048.5,6,"p"
"2436A","chr6q",5896.92857142857,6,"q"
"3188","chr6p",2707.5,6,"p"
"3188","chr6q",2246.33333333333,6,"q"
"3988","chr6p",2850.25,6,"p"
"6265D","chr6p",7669.25,6,"p"
"6265D","chr6q",8975,6,"q"
"6266D","chr6p",4795.375,6,"p"
"6266D","chr6q",3383.5,6,"q"
"6269C","chr6p",6963,6,"p"
"6277A","chr6p",3839.66666666667,6,"p"
"6277A","chr6q",7479,6,"q"
"6285B","chr6p",3463,6,"p"
"6285B","chr6q",4018.5,6,"q"
"6298B","chr6p",1641,6,"p"
"6298B","chr6q",4143.5,6,"q"
"6314E","chr6p",3820,6,"p"
"6314E","chr6q",4838,6,"q"
"6324B","chr6p",5239,6,"p"
"6324B","chr6q",4250.5,6,"q"
"6365A","chr6p",1875.5,6,"p"
"6365A","chr6q",4836,6,"q"
"6414C","chr6p",6200,6,"p"
"6414C","chr6q",5129,6,"q"
"6423A","chr6p",6808,6,"p"
"6423A","chr6q",5479,6,"q"
"6436B","chr6p",2295.16666666667,6,"p"
"6436B","chr6q",5735.5,6,"q"
"6439C","chr6q",9609,6,"q"
"6478A","chr6p",5004,6,"p"
"6478A","chr6q",7965,6,"q"
"6483C","chr6p",3580.5,6,"p"
"6483C","chr6q",4985.5,6,"q"
"6500D","chr6p",4441,6,"p"
"6500D","chr6q",5955.5,6,"q"
"6605D","chr6p",4249.75,6,"p"
"6605D","chr6q",7141.25,6,"q"
"2436A","chr7p",4684.33333333333,7,"p"
"2436A","chr7q",6483.08333333333,7,"q"
"3188","chr7p",1615,7,"p"
"3188","chr7q",2375.75,7,"q"
"3988","chr7p",5220,7,"p"
"3988","chr7q",5331,7,"q"
"6265D","chr7p",5219.25,7,"p"
"6265D","chr7q",7775.5,7,"q"
"6266D","chr7p",4870,7,"p"
"6266D","chr7q",6241,7,"q"
"6269C","chr7p",7478,7,"p"
"6269C","chr7q",4016,7,"q"
"6277A","chr7p",6403.5,7,"p"
"6277A","chr7q",5808,7,"q"
"6285B","chr7p",3370,7,"p"
"6285B","chr7q",3978,7,"q"
"6298B","chr7p",5973,7,"p"
"6298B","chr7q",3918.5,7,"q"
"6314E","chr7p",1998.5,7,"p"
"6314E","chr7q",5512,7,"q"
"6324B","chr7p",3142,7,"p"
"6324B","chr7q",3970,7,"q"
"6365A","chr7p",6764.5,7,"p"
"6365A","chr7q",7389.25,7,"q"
"6414C","chr7p",4883,7,"p"
"6414C","chr7q",2906,7,"q"
"6423A","chr7q",4276,7,"q"
"6436B","chr7p",6975,7,"p"
"6436B","chr7q",5743.5,7,"q"
"6439C","chr7p",7063,7,"p"
"6439C","chr7q",6938.5,7,"q"
"6478A","chr7p",9319,7,"p"
"6478A","chr7q",8043,7,"q"
"6483C","chr7p",7881.5,7,"p"
"6483C","chr7q",6405.5,7,"q"
"6500D","chr7p",7021,7,"p"
"6500D","chr7q",6703,7,"q"
"6605D","chr7p",7931,7,"p"
"6605D","chr7q",6898.75,7,"q"
"2436A","chr8p",4764.75,8,"p"
"2436A","chr8q",6406.33333333333,8,"q"
"3188","chr8p",2236.625,8,"p"
"3188","chr8q",3307.66666666667,8,"q"
"3988","chr8p",4624.5,8,"p"
"3988","chr8q",4655,8,"q"
"6265D","chr8p",4356.58333333333,8,"p"
"6265D","chr8q",8339.5,8,"q"
"6266D","chr8p",2143.5,8,"p"
"6266D","chr8q",4278,8,"q"
"6269C","chr8p",4595.5,8,"p"
"6269C","chr8q",4293.5,8,"q"
"6277A","chr8p",3993,8,"p"
"6277A","chr8q",5108.5,8,"q"
"6285B","chr8p",3351.5,8,"p"
"6285B","chr8q",3230.5,8,"q"
"6298B","chr8p",4656,8,"p"
"6298B","chr8q",5850.5,8,"q"
"6314E","chr8q",5195,8,"q"
"6324B","chr8p",8228,8,"p"
"6324B","chr8q",5409,8,"q"
"6365A","chr8p",2163,8,"p"
