"Sample","Chr_Arm","SV_Type","SV_Count","SV_Size_Sum","SV_Rate","SV_Proportion"
"2436A","chr4q","DEL",7,0.023752,0.049602306070732,0.000168307710541718
"2436A","chr4q","DUP",2,0.008293,0.0141720874487806,5.87645606063686e-05
"2436A","chr4q","INS",2,0.007524,0.0141720874487806,5.33153929823125e-05
"2436A","chr4q","INV",1,0.004611,0.00708604372439029,3.26737476131636e-05
"2436A","chr5p","BND",4,0.01901,0.0827850907942379,0.000393436143999616
"2436A","chr5p","DEL",3,0.0157,0.0620888180956784,0.000324931481367384
"2436A","chr5p","DUP",1,0.000212,0.0206962726985595,4.38760981209461e-06
"2436A","chr5p","INS",2,0.001255,0.0413925453971189,2.59738222366921e-05
"2436A","chr5q","BND",2,0.012432,0.0149557802445509,9.29651300001286e-05
"2436A","chr5q","DEL",3,0.009181,0.0224336703668264,6.86545092126111e-05
"2436A","chr5q","INS",4,0.004713,0.0299115604891019,3.52432961462843e-05
"2436A","chr6p","BND",9,50.110166,0.150823122216936,0.839752410103219
"2436A","chr6p","DEL",7,0.038672,0.117306872835395,0.000648070198041485
"2436A","chr6q","BND",7,50.109232,0.0622476303216388,0.445597278462462
"2436A","chr6q","DEL",11,0.312787,0.0978177047911468,0.00278146422077349
"2436A","chr6q","DUP",2,0.019167,0.017785037234754,0.000170442904339265
"2436A","chr6q","INS",2,0.003136,0.017785037234754,2.78869383840942e-05
"2436A","chr7p","DEL",4,0.256309,0.0644491486952229,0.00412972421323097
"2436A","chr7p","DUP",1,0.00025,0.0161122871738057,4.02807179345143e-06
"2436A","chr7p","INS",3,0.019023,0.0483368615214172,0.000306504038907307
"2436A","chr7p","INV",1,0.001094,0.0161122871738057,1.76268421681435e-05
"2436A","chr7q","BND",4,0.025682,0.0406079031527499,0.000260723042192231
"2436A","chr7q","DEL",4,0.039386,0.0406079031527499,0.000399845718393552
"2436A","chr7q","DUP",2,0.096803,0.0203039515763749,0.000982741712223912
"2436A","chr7q","INS",1,0.000336,0.0101519757881875,3.41106386483099e-06
"2436A","chr8p","DEL",5,0.348187,0.110447308063343,0.00769126337053022
"2436A","chr8p","INS",1,0.003201,0.0220894616126685,7.0708366622152e-05
"2436A","chr8q","BND",2,171.068282,0.0198041615970076,1.69393195042523
"2436A","chr8q","DEL",3,0.014262,0.0297062423955114,0.000141223476348261
"2436A","chr8q","INS",3,0.001975,0.0297062423955114,1.9556609577045e-05
"2436A","chr8q","INV",2,0.008371,0.0198041615970076,8.28903183642753e-05
"2436A","chr9p","DEL",2,0.031917,0.0432271814245885,0.000689840974764296
"2436A","chr9p","INS",3,0.011056,0.0648407721368828,0.000238959858915125
"2436A","chr9q","BND",4,0.001576,0.0383325119634332,1.51030097135927e-05
"2436A","chr9q","DEL",2,0.009613,0.0191662559817166,9.21226093761209e-05
"2436A","chr9q","DUP",2,0.011425,0.0191662559817166,0.000109487237295556
"2436A","chr9q","INS",2,0.009395,0.0191662559817166,9.00334874741138e-05
"3188","chr1p","DEL",3,0.00479,0.0241841347126599,3.86140017578803e-05
"3188","chr1p","INS",2,0.000667,0.0161227564751066,5.37693928444804e-06
"3188","chr1q","DEL",4,0.056101,0.0321700997886738,0.000451193692061097
"3188","chr1q","DUP",1,0.006393,0.00804252494716845,5.14158619872479e-05
"3188","chr1q","INS",1,0.002931,0.00804252494716845,2.35726406201507e-05
"3188","chr10p","BND",4,0.034702,0.0984029423857414,0.0008536947266675
"3188","chr10p","DEL",4,0.040349,0.0984029423857414,0.000992615080580571
"3188","chr10p","DUP",1,0.004431,0.0246007355964354,0.000109005859427805
"3188","chr10p","INS",3,0.002651,0.0738022067893061,6.52165500661501e-05
"3188","chr10q","BND",4,0.044214,0.0425039307900844,0.000469817198988198
"3188","chr10q","DEL",5,0.012671,0.0531299134876055,0.00013464182676029
"3188","chr11p","DEL",3,0.059575,0.05687924837031,0.00112952707388707
"3188","chr11p","DUP",1,1.463048,0.01895974945677,0.0277390235232284
"3188","chr11q","BND",4,0.00405,0.0485528483674153,4.9159758972008e-05
"3188","chr11q","DEL",3,0.036913,0.0364146362755615,0.000448057822946601
"3188","chr11q","DUP",2,0.039097,0.0242764241837077,0.000474567678155209
"3188","chr11q","INS",1,0.000327,0.0121382120918538,3.9691953540362e-06
"3188","chr12p","BND",3,142.878823,0.0835383178011467,3.9786188409426
"3188","chr12p","DEL",3,0.036195,0.0835383178011467,0.00100788980427084
"3188","chr12p","INS",2,0.004861,0.0556922118674311,0.000135359920943791
"3188","chr12q","BND",5,142.443631,0.0513279126403854,1.46226684962946
"3188","chr12q","DEL",2,0.003183,0.0205311650561542,3.26753491868694e-05
"3188","chr12q","DUP",1,0.050117,0.0102655825280771,0.000514480199559639
"3188","chr12q","INS",1,0.003101,0.0102655825280771,3.1833571419567e-05
"3188","chr13p","DEL",1,0.000948,0.0605219094759275,5.73747701831792e-05
"3188","chr13q","BND",30,385.210022,0.309138938415237,3.96944724226633
"3188","chr13q","DEL",5,0.087002,0.0515231564025395,0.000896523530666748
"3188","chr13q","DUP",2,0.243186,0.0206092625610158,0.00250594206258159
"3188","chr13q","INS",3,0.001954,0.0309138938415237,2.01352495221124e-05
"3188","chr14q","BND",172,3398.584494,1.91619475450376,37.8624987217477
"3188","chr14q","DEL",5,11.741775,0.0557033358867371,0.130811207346299
"3188","chr14q","DUP",7,266.059676,0.077984670241432,2.96408229962889
"3188","chr14q","INS",2,0.003225,0.0222813343546948,3.59286516469454e-05
"3188","chr15q","BND",4,0.092964,0.0484457600967171,0.0011259279104078
"3188","chr15q","DEL",2,0.005549,0.0242228800483586,6.72063806941708e-05
"3188","chr15q","DUP",1,0.536071,0.0121114400241793,0.00649259176520181
"3188","chr16p","DEL",2,0.006629,0.0542904331326044,0.000179945640618017
"3188","chr16p","INS",1,8.1e-05,0.0271452165663022,2.19876254187048e-06
"3188","chr16q","BND",6,0.109588,0.10085479311816,0.00184207917803882
"3188","chr16q","DEL",3,0.021775,0.0504273965590799,0.000366018853357988
"3188","chr16q","INS",1,5.4e-05,0.01680913218636,9.07693138063438e-07
"3188","chr16q","INV",1,0.000662,0.01680913218636,1.11276455073703e-05
"3188","chr17p","INS",1,0.00381,0.0389261383919978,0.000148308587273512
"3188","chr17q","BND",2,0.001646,0.034137138923374,2.80948653339368e-05
"3188","chr17q","DEL",3,0.013307,0.0512057083850611,0.000227131453826669
"3188","chr17q","INS",2,0.008385,0.034137138923374,0.000143119954936246
"3188","chr18p","INS",1,0.001397,0.0542016466026625,7.57197003039195e-05
"3188","chr18q","DEL",2,0.000711,0.0322097945024774,1.14505819456307e-05
"3188","chr18q","INS",1,0.001,0.0161048972512387,1.61048972512387e-05
"3188","chr19p","BND",2,0.023656,0.0719607649760337,0.000851151928136526
"3188","chr19p","DEL",1,0.000523,0.0359803824880168,1.88177400412328e-05
"3188","chr19p","DUP",1,0.001469,0.0359803824880168,5.28551818748967e-05
"3188","chr19p","INS",3,0.00157,0.10794114746405,5.64892005061864e-05
"3188","chr19q","DEL",2,0.000402,0.0589719288016571,1.18533576891331e-05
"3188","chr19q","DUP",1,0.005876,0.0294859644008285,0.000173259526819269
"3188","chr2p","DEL",6,0.092752,0.0641688698780769,0.000991965169821898
"3188","chr2p","DUP",1,0.167353,0.0106948116463462,0.00178980881345097
"3188","chr2p","INS",1,0.002456,0.0106948116463462,2.62664574034261e-05
"3188","chr2q","BND",8,3.338312,0.0536216501541364,0.0223757247711694
"3188","chr2q","DEL",13,0.070224,0.0871351815004717,0.00047069084505301
"3188","chr2q","INS",4,0.009045,0.0268108250770682,6.06259782055205e-05
"3188","chr20p","BND",2,0.330952,0.0713960530762542,0.0118143332788462
"3188","chr20p","DUP",1,0.000121,0.0356980265381271,4.31946121111338e-06
"3188","chr20p","INS",1,0.003086,0.0356980265381271,0.00011016410989666
"3188","chr20p","INV",1,0.000618,0.0356980265381271,2.20613804005626e-05
"3188","chr20q","BND",6,21.155756,0.157078334598948,0.553851819943618
"3188","chr20q","DEL",3,0.016042,0.0785391672994742,0.000419975107272722
"3188","chr20q","INS",1,0.002863,0.0261797224331581,7.49525453261315e-05
"3188","chr21q","BND",8,11.330744,0.235597948919596,0.333687505766628
"3188","chr22p","BND",2,9.693,0.140354600283432,0.680228570273654
